Player,Time,Half-time,total_distance,HIR_total_distance,HA_actions,HD_actions,VHA_actions,VHD_actions,Expected_goal
13188,"[0.0,5.0]",First-half,671.6175728755413,187.31409591795898,21.0,40.0,12.0,18.0,31.200000000000003
13188,"[5.0,10.0]",First-half,599.7969762103752,113.40572457362003,35.0,42.0,6.0,7.0,0.0
13188,"[10.0,15.0]",First-half,585.3546607405724,81.50411152123179,14.0,19.0,0.0,17.0,18.82
13188,"[15.0,20.0]",First-half,562.8755627341433,122.32215312586133,21.0,20.0,6.0,3.0,9.18
13188,"[20.0,25.0]",First-half,529.3567493423659,121.47065424083678,24.0,32.0,9.0,0.0,7.500000000000001
13188,"[25.0,30.0]",First-half,644.167689615184,28.568249331120164,28.0,37.0,1.0,0.0,4.930000000000001
13188,"[30.0,35.0]",First-half,567.7125434511869,18.275639789033644,22.0,21.0,0.0,10.0,4.460000000000001
13188,"[35.0,40.0]",First-half,566.0740216393108,45.92208610649172,33.0,31.0,9.0,10.0,18.35
13188,"[40.0,45.0]",First-half,505.7314420600467,133.76115784431943,33.0,18.0,12.0,12.0,35.15
13188,"[45.0,50.0]",First-half,54.31101811946443,0.0,0.0,0.0,0.0,0.0,0.0
13188,"[60.0,65.0]",Second-half,341.259798193493,107.89569037920202,21.0,17.0,13.0,6.0,18.5
13188,"[65.0,70.0]",Second-half,565.7448245374424,22.852839654647102,23.0,46.0,6.0,5.0,55.25000000000001
13188,"[70.0,75.0]",Second-half,568.6877127903452,106.45249734240937,37.0,42.0,4.0,9.0,2.65
13188,"[75.0,80.0]",Second-half,589.0225822923364,180.84042236641162,46.0,40.0,15.0,9.0,19.950000000000003
13188,"[80.0,85.0]",Second-half,476.8360239177727,4.617401864739235,16.0,24.0,0.0,4.0,27.460000000000004
13188,"[85.0,90.0]",Second-half,362.59052399951815,0.0,16.0,19.0,0.0,5.0,8.970000000000002
13188,"[90.0,95.0]",Second-half,481.4354650468091,48.93119450366677,39.0,35.0,7.0,12.0,66.81000000000002
13188,"[95.0,100.0]",Second-half,615.4466894332485,127.00594994591297,27.0,23.0,7.0,20.0,7.690000000000001
13188,"[100.0,105.0]",Second-half,597.1129651422343,34.44454114587065,18.0,12.0,4.0,6.0,7.16
13188,"[105.0,110.0]",Second-half,498.1198313602493,74.87698417785924,14.0,37.0,5.0,5.0,32.28
13188,"[110.0,112.11]",Second-half,212.69929720799973,23.67536060539782,10.0,5.0,13.0,0.0,9.600000000000001
13394,"[0.0,5.0]",First-half,688.1374241795704,46.96208201608657,12.0,31.0,6.0,14.0,40.489999999999995
13394,"[5.0,10.0]",First-half,678.7056421176576,118.48851034661554,14.0,27.0,9.0,0.0,27.620000000000005
13394,"[10.0,15.0]",First-half,585.5628659442283,77.87204381131309,2.0,21.0,8.0,3.0,43.03000000000001
13394,"[15.0,20.0]",First-half,639.0705366013929,48.84768761462986,14.0,14.0,5.0,7.0,84.45
13394,"[20.0,25.0]",First-half,606.4916984521951,141.3536171109305,17.0,9.0,9.0,2.0,70.86
13394,"[25.0,30.0]",First-half,650.3799079297498,133.28655985871896,15.0,38.0,0.0,17.0,23.02
13394,"[30.0,35.0]",First-half,624.8838424133205,28.673803808220352,3.0,7.0,5.0,1.0,94.72000000000001
13394,"[35.0,40.0]",First-half,602.2544083853954,36.25557035379457,8.0,6.0,0.0,3.0,63.36000000000002
13394,"[40.0,45.0]",First-half,547.0686463818704,131.52399615617708,26.0,6.0,2.0,8.0,72.35000000000001
13394,"[45.0,50.0]",First-half,69.48702819680021,0.0,0.0,0.0,0.0,0.0,51.33
13394,"[60.0,65.0]",Second-half,338.88740936701964,3.9996547104270714,8.0,6.0,5.0,9.0,17.61
13394,"[65.0,70.0]",Second-half,640.1708309411367,66.51108438005637,7.0,30.0,0.0,7.0,14.059999999999999
13394,"[70.0,75.0]",Second-half,589.1265955536189,157.69206627123808,21.0,34.0,0.0,14.0,41.13
13394,"[75.0,80.0]",Second-half,576.340992103841,15.087319743504189,7.0,7.0,0.0,0.0,95.42000000000002
13394,"[80.0,85.0]",Second-half,556.1920060570544,12.775754232211774,15.0,12.0,0.0,0.0,124.94000000000003
13394,"[85.0,90.0]",Second-half,423.9497231689901,77.03928557694833,7.0,33.0,0.0,0.0,24.07
13394,"[90.0,95.0]",Second-half,615.6485139610052,17.80387649857183,20.0,28.0,0.0,1.0,77.38000000000001
13394,"[95.0,100.0]",Second-half,640.4140332967995,119.46385245769902,9.0,16.0,3.0,7.0,37.96
13394,"[100.0,105.0]",Second-half,645.050410703863,76.0258411482898,23.0,22.0,1.0,16.0,40.51
13394,"[105.0,110.0]",Second-half,657.4682317343311,22.233650271114037,15.0,12.0,0.0,4.0,142.19000000000003
13394,"[110.0,112.11]",Second-half,213.64939347674937,16.12285544330887,4.0,6.0,2.0,0.0,136.69
15223,"[0.0,5.0]",First-half,613.2458390323216,87.99526466339886,19.0,32.0,10.0,8.0,4.04
15223,"[5.0,10.0]",First-half,713.2916247773245,186.7263575825729,15.0,36.0,0.0,12.0,5.7
15223,"[10.0,15.0]",First-half,534.1906753425781,107.11066312053603,30.0,18.0,11.0,0.0,17.620000000000005
15223,"[15.0,20.0]",First-half,587.6823447695292,167.59126672834242,10.0,27.0,3.0,19.0,20.800000000000004
15223,"[20.0,25.0]",First-half,549.3014263247571,45.94337492800615,20.0,24.0,1.0,4.0,15.370000000000001
15223,"[25.0,30.0]",First-half,675.6691104385745,145.0115011747285,32.0,41.0,0.0,7.0,15.09
15223,"[30.0,35.0]",First-half,551.3016877260479,43.14497679581599,15.0,7.0,0.0,0.0,18.26
15223,"[35.0,40.0]",First-half,600.2848097626467,82.71699865650358,35.0,47.0,7.0,12.0,51.510000000000005
15223,"[40.0,45.0]",First-half,484.82125435648345,91.61867546005736,27.0,28.0,2.0,11.0,29.75
15223,"[45.0,50.0]",First-half,71.59044920310075,0.0,0.0,0.0,0.0,0.0,19.670000000000005
15223,"[60.0,65.0]",Second-half,316.98216145414466,81.01821455314305,21.0,20.0,0.0,7.0,0.0
15223,"[65.0,70.0]",Second-half,632.9705669888647,115.8867581445288,18.0,41.0,3.0,13.0,24.550000000000004
15223,"[70.0,75.0]",Second-half,649.6168080829611,144.90609257869932,27.0,44.0,7.0,12.0,11.39
15223,"[75.0,80.0]",Second-half,611.0722339529719,176.29360017245395,25.0,46.0,3.0,15.0,30.980000000000004
15223,"[80.0,85.0]",Second-half,591.1297596021734,54.22139941163964,23.0,42.0,6.0,7.0,17.68
15223,"[85.0,90.0]",Second-half,376.22833204942214,47.5793722867903,3.0,26.0,3.0,4.0,11.010000000000002
15223,"[90.0,95.0]",Second-half,5.86012109790276,0.0,0.0,0.0,0.0,0.0,0.0
15606,"[0.0,5.0]",First-half,601.6978948977428,22.08059238363825,24.0,23.0,1.0,2.0,36.96
15606,"[5.0,10.0]",First-half,722.7666020666079,297.12835345806513,37.0,44.0,2.0,33.0,47.03
15606,"[10.0,15.0]",First-half,483.84482664052575,32.89342090642365,11.0,11.0,1.0,13.0,97.92000000000002
15606,"[15.0,20.0]",First-half,549.5140933177428,70.62715227013004,6.0,12.0,6.0,17.0,101.73
15606,"[20.0,25.0]",First-half,510.7964420315203,26.785459625745297,21.0,20.0,0.0,7.0,33.050000000000004
